id,sentence
86,Kiyadinahan nila hi Īsa.
87,Nila diyā madtu tiyukbal pa lawm lima hi Pilatu.
88,Amu in gubnul sin parinta sin hulaꞌ Rūm.
89,Pagꞌingat mayan hi Judas.
90,Amun in nanipu kan Īsa.
91,In hukuman biyutang kan Īsa subay patayun.
92,Nagsusun tuud siya sin nahinang niya.
93,Iyuliꞌ niya na in katluan pilak batu pa manga nakuraꞌ sin kaimaman.
94,Iban sin manga nagtatau-maas ha hulaꞌ.
95,"Laung niya, “Nagdusa aku sabab tīpu ku in tau way dusa ha supaya siya mapatay!”"
96,“In yan way na lamud namuꞌ.
97,"Bayaꞌ-bayaꞌ mu na,” in sambag sin manga nakuraꞌ kaimaman."
98,Sakali liyaruk hi Judas in manga pilak batu pa lawm sin Bāy sin Tuhan.
99,"Ubus ampa siya minīg, miyadtu naggantung sin baran niya."
100,Piyūt sin manga nakuraꞌ kaimaman in sīn.
101,"Laung nila, “In sīn ini langgal saraꞌ sin agama.”"
102,Bakās ini piyanangdan hipagpatay ha tau.
103,Piyagꞌisunan nila bang unuhun in sīn.
104,Kiyapagꞌisunan nila in sīn piyamī nila lupaꞌ sin tau maghihinang anglit lupaꞌ.
105,In lupaꞌ ini hīnang pangubulan sin manga patay dayn ha dugaing hulaꞌ.
106,Hangkan na in lupaꞌ yan sampay pa bihaun in pagtawag Lupaꞌ Binī sin Duguꞌ.
107,Dayn duun nabunnal in bakas kiyabaytaꞌ hi Nabi Irmiyas.
108,Kiyawaꞌ nila in katluan pilak batu.
109,Amu in hargaꞌ kiyapagꞌisunan sin manga tau Israil hipanangdan ha pagpatay kaniya.
110,Piyamī in sīn lupaꞌ sin tau maghihinang anglit lupaꞌ.
111,In ini daakan kākuꞌ sin Tuhan.
112,Narā mayan hi Īsa mawn kan Gubnul Pilatu.
113,Duun na siya nagtitindug siyumariya sin gubnul.
114,"Laung sin gubnul kaniya, “Ikaw na ka in sultan sin manga Yahudi?”"
115,"“Biyaꞌ na sin kiyapamung mu,” in sambag hi Īsa."
116,Siyumariya mayan siya sin manga nakuraꞌ kaimaman.
117,Walaꞌ tuud siya simambung minsan.
118,"Laung hi Pilatu kaniya, “Walaꞌ mu ka kiyarungugan in katān tuntut nila kaymu?”"
119,Walaꞌ tuud hi Īsa simambung minsan.
120,Landuꞌ tuud nainu-inu in gubnul.
121,Tahun-tahun biyaꞌ na sin pagkabiyaksahan sin gubnul ha sakabaꞌ waktu sin Haylaya Paglappas.
122,Paguwaun niya in hambuuk pilisu.
123,In ngān niya hi Barabbas.
124,Sakali natipun mayan in manga tau mataud.
125,Iyasubu sila hi Pilatu.
126,"Laung niya, “Hisiyu ha duwa pilisu in kabayaan niyu paguwaun ku?”"
127,Hi Barabbas atawa hi Īsa amu in pagngānan Almasi?
128,Hi Pilatu nangasubu sabab asal kiyaiingatan niya sin manga nakuraꞌ kaimaman.
129,Tiyukbal nila hi Īsa pa lawm lima niya.
130,Hi Pilatu limilingkud ha bilik paghuhukuman.
131,Nagparā lapal mawn kaniya in asawa niya.
132,"Namung siya, “Ayaw kaw lumamud sin pagpatay ha tau yan.”"
133,“Wayruun tuud dusa sin tau yan.”
134,“Karnaꞌ kābii mangīꞌ tuud in parasahan ku sin tagainup ku pasal niya.”
135,Bīcharahan sin manga nakuraꞌ sin kaimaman in manga tau hipapangayuꞌ kan Pilatu.
136,Paguwaun hi Barabbas.
137,Hi Īsa hipapatay.
138,"Laung niya, “Hisiyu ha duwa ini in kabayaan niyu paguwaun ku?”"
139,"“Hi Barabbas,” in sambung sin manga tau."
140,"Laung hi Pilatu, “Unu in hinangun ku kan Īsa amu in pagngānan Almasi?”"
141,"“Palansangan siya pa usuk,” in sambag sin manga tau."
142,"Laung hi Pilatu, “Maytaꞌ?"
143,Unu in dusa nahinang niya?”
144,Walaꞌ siyambag sin manga tau.
145,Nagꞌulak na makusug in manga tau.
146,“Palansangan na siya pa usuk.”
147,Kītaꞌ hi Pilatu diꞌ niya da malāng in kabayaan sin manga tau.
148,Kimawaꞌ siya tubig.
149,Hiyugasan in lima niya ha alupan sin manga tau mataud.
150,"Laung niya, “Mamuas aku sin pagpatay ha tau ini!”"
151,“Kamu in mangaku sin dusa sin pagpatay kaniya!”
152,"Simambag in manga tau, “Akuhun namuꞌ iban sin manga kaawꞌanakan namuꞌ in dusa sin pagpatay kaniya!”"
153,Piyaguwaꞌ na hi Pilatu hi Barabbas.
154,Piyalubakan hi Īsa.
155,Tiyukbal pa manga sundalu hipapalansang pa usuk pagpatayan kaniya.
156,Diyā na hi Īsa sin manga sundalu hi Pilatu madtu pa bāy dakulaꞌ sin gubnul.
157,Piyaglibutan na siya sin katān sundalu.
158,Inīgan nila in badjuꞌ hi Īsa.
159,Siyulugan sin siub badjuꞌ taluk.
160,Liyubid in manga sanga kahuy matunuk hīnang biyaꞌ kuruna.
161,Nila siyangun pa ū hi Īsa.
162,Piyakamputan kan Īsa in kahuy-kahuy ha tuu niya.
163,Piyagꞌudjuꞌ-udjuꞌ hi Īsa.
164,Limuhud sila ha alupan niya sartaꞌ imiyan.
165,“Mabuhay in Sultan sin manga Yahudi.”
166,Liyuraan hi Īsa.
167,Kiyawaꞌ nila in kahuy-kahuy dayn ha lima niya.
168,Piyanglubak pa ū niya.
169,Piyaglangugan hi Īsa.
170,Inīgan nila na in siub badjuꞌ taluk.
171,Siyulugan hi Īsa nagbalik sin badjuꞌ niya.
172,Diyā hi Īsa pa lugal paglansangan kaniya pa usuk.
173,"Ini in panagnaan sin Baytaꞌ Marayaw pasal hi Īsa Almasi, amu in Anak Tuhan."
174,Asal kiyasulat hi Nabi Isayas ha lawm Kitab in Parman sin Tuhan.
175,"Paunahun ku lumahil dayn kaymu, in hambuuk daraakun ku."
176,Sakapun niya in dān labayan mu.
177,Siya in manawag-tawag duun ha hulaꞌ paslangan mahunit paghulaan.
178,"Amu agi niya, ‘Masuuk na dumatung in Panghuꞌ."
179,Sakapa niyu in dān labayan niya.
180,Pabuntula niyu in dān panawan niya.’
181,Manjari timagnaꞌ na hi Yahiya nagpamahalayak pasal sin Almasi ha hulaꞌ paslangan mahunit paghulaan.
182,Līguꞌ niya in manga tau amu in nagtawbat na sin manga dusa nila.
183,"Laung niya ha manga tau, “Pagtawbati niyu na in manga dusa niyu."
184,"Kamu pagpaliguꞌ, tandaꞌ sin tiyaykuran niyu in dusa niyu."
185,Iyampun na kamu sin Tuhan.”
186,"Na, in manga tau mataud dayn ha katilingkal Yahudiya iban dayn ha dāira Awrusalam miyawn dimungug kan Yahiya."
187,Nagsabunnal na sila sin manga dusa nila.
188,Līguꞌ na sila hi Yahiya duun ha Subaꞌ Jurdan.
189,In tamungun hi Yahiya hīnang dayn ha bulbul untaꞌ.
190,In sabitan niya pais sapiꞌ.
191,In pagkaunun niya hambuuk ginis sin ampan iban gulaꞌ pussukan.
192,Nagpamahalayak siya ha manga tau.
193,"Laung niya, “In tau ha ulihan ku amu in magdaratung mari kaniyu."
194,Labi tuud mataas in kawasa dayn kākuꞌ.
195,Hangkan diꞌ aku minsan tūpun umanduk humubad sin hukut sin tawmpaꞌ niya.
196,Sabab labi in kalagguan niya dayn kākuꞌ.
197,In aku tubig in kaniyu.
198,Sagawaꞌ in siya patulunan niya kamu sin Rū sin Tuhan.
199,Amu in pangliguꞌan niya kaniyu.”
200,Sakali pagꞌubus yadtu miyawn hi Īsa kan Yahiya dayn ha Nasarit.
201,"Hambuuk dāira ha hulaꞌ Jalil, ampa siya līguꞌ hi Yahiya duun ha Subaꞌ Jurdan."
202,Pagꞌīg niya na mayan dayn ha tubig magtūy niya kītaꞌ naukab in lawang langit.
203,Nimaug in Rū sin Tuhan mawn kaniya nagpasalupa assang.
204,Ubus ampa siya hiyūp sin Rū sin Tuhan.
205,"Sartaꞌ awn na suwara dayn ha langit, amu agi, “Ikaw in Anak ku kalasahan."
206,Kiyasulutan tuud aku kaymu.”
207,Sakali magtūy hi Īsa piyakadtu sin Rū sin Tuhan pa hulaꞌ paslangan mahunit paghulaan.
208,Duun siya kaꞌpatan adlaw siyasat sin Saytan Puntukan.
209,Awn da isab manga sattuwa talun duun.
210,Sagawaꞌ miyawn in manga malāikat timabang kaniya.
211,"Pagꞌubus najīl mayan hi Yahiya, miyadtu na hi Īsa pa hulaꞌ Jalil."
212,Nagpamahalayak sin Baytaꞌ Marayaw naug dayn ha Tuhan.
213,"Laung hi Īsa, “Naabut na in waktu giyantaꞌ sin Tuhan."
214,Amu in waktu dumatung na mari in pamarinta niya.
215,Pagtawbati niyu na in manga dusa niyu.
216,Pagparachaya kamu ha Baytaꞌ Marayaw!”
217,"Manjari, ha saꞌbu hi Īsa miyamanaw ha higad sin dagat pagngānan Dagat Jalil."
218,"Kītaꞌ niya nanglalaya in duwa magꞌiistaꞌ, hi Simun iban sin taymanghud niya hi Andariyas."
219,"Laung hi Īsa kanila, “Kari kamu agad kākuꞌ!"
220,Bihaun in hinang niyu magꞌiistaꞌ.
221,Sagawaꞌ hinduan ta kamu bang biyaꞌ diin maghulas-sangsaꞌ dumā ha manga mānusiyaꞌ.
222,Pagkahi niyu magad kākuꞌ.”
223,"Na, saruun-duun biyutawanan nila in laya nila."
224,Sila miyagad kan Īsa.
225,"Na, naabut na isab hambuuk waktu in hi Īsa simūd pa lawm langgal."
226,Sakali awn hambuuk tau duun nakukumay in lima niya.
227,Yaun da isab in manga kaibanan tau marugal kan Īsa.
228,Mabayaꞌ nila lawagan hi Īsa dusa ha supaya nila siya katuntutan.
229,"Hangkan, jiyagahan nila tuud marayaw hi Īsa bat nila kakitaan bang pauliun hi Īsa in tau nakukumay in lima minsan adlaw paghali-hali iban pagpudji pa Tuhan."
230,"Na, laung hi Īsa ha tau nakukumay in lima, “Kari kaw mari pa unahan.”"
231,"Pagꞌubus ampa niya iyasubu in manga tau, laung niya, “Bang ha aturan sin saraꞌ agama natuꞌ unu in patut natuꞌ hinangun ha adlaw paghali-hali iban pagpudji pa Tuhan?"
232,Huminang sin marayaw atawa makamula?
233,Tumabang sin kabuhiꞌ sin tau atawa mamatay?”
234,"Na, walaꞌ tuud simambung minsan hangka-kabtang in manga tau."
235,"Iyatud hi Īsa in manga tau iban diyugalan siya kanila, sagawaꞌ nasusa da isab in lawm atay niya pasal nila sabab matugas in ū nila iban saꞌ in pamikil nila."
236,"Pagꞌubus, laung hi Īsa ha tau nakukumay in lima, “Hunata in lima mu.”"
237,Na hiyunat na sin tau in lima niya.
238,"Na, saruun-duun dimayaw nagbalik in lima niya."
239,"Na, gimuwaꞌ in manga Parisi dayn ha lawm langgal, ampa sila magtūy nagꞌisun iban sin manga tindug hi Sultan Hirud bang biyaꞌ diin in hikapatay nila kan Īsa."
240,"Sakali minīg na hi Īsa iban sin manga mulid niya, ampa sila miyadtu pa Dagat Jalil."
241,Mataud tuud tau in imurul kan Īsa.
242,"In manga tau ini dayn ha Jalil, Yahudiya."
243,"Awrusalam (Baytal Makdis), Idumiya, dayn ha hulaꞌ ha dapit pa subangan sin Subaꞌ Jurdan, iban dayn ha manga dāira sin Tirus iban Sidun."
244,In manga tau mataud ini miyawn kan Īsa sabab kiyasuysuyan sila pasal sin nahinang hi Īsa.
245,Landuꞌ tuud mataud in manga tau.
246,Hangkan nagpasakap hi Īsa kumpit ha manga mulid niya ha supaya siya diꞌ karaꞌganan sin manga tau.
247,Mataud tau nasasakit in napauliꞌ niya.
248,Hangkan in katān tagasakit nagtuyuꞌ tuud similut bat makakaput kaniya.
249,"Na, bang siya kakitaan sin manga tau siyusūd saytan, magtūy magpatiligad sila ha alupan niya ampa similawak."
250,"Laung nila, “Ikaw in Anak Tuhan!”"
251,Sagawaꞌ ībut-ibutan tuud hi Īsa in manga saytan diꞌ papagbaytaun bang hisiyu siya.
252,"Na, pagꞌubus yadtu timukad hi Īsa pa taas būd-būd ampa niya tiyawag in manga tau amu in kabayaan niya paagarun kaniya."
253,Miyawn in manga tau kaniya.
254,Pagꞌubus ampa niya pinīꞌ in hangpuꞌ tagduwa tau hīnang manga wakil niya.
255,"Laung niya kanila, “Kamu in napīꞌ ku tutug magad kākuꞌ."
256,Kamu da isab in daakun ku magnasīhat sin Baytaꞌ Marayaw dayn ha Tuhan.
257,Iban dihilan ta kamu kawasa magpaguwaꞌ sin saytan dayn ha manga tau siyusūd saytan.”
258,"In manga hangpuꞌ tagduwa mulid napīꞌ niya, amuna hinda Simun (ngiyānan siya hi Īsa, Pitrus)."
259,"Hi Yaꞌkub iban sin taymanghud niya hi Yahiya, amu in manga anak hi Sibidi."
260,"Hi Andariyas, hi Pilip, hi Bartulumi, hi Matiyu, hi Tumas, hi Yaꞌkub, amu in anak hi Alpa."
261,"Hi Tadiyus, hi Simun, amu in bantug simulang ha pamarinta sin hulaꞌ Rūm."
262,Iban hi Judas tau dayn ha Kiriyud amu in manipu kan Īsa.
263,Pagꞌubus minuwiꞌ na hi Īsa iban sin manga mulid niya pa hulaan nila.
264,Sakali nagtipun na isab mawn kan Īsa in manga tau mataud.
265,Diꞌ na siya makaluhaya minsan kumaun iban sin manga mulid niya.
266,"Na, pagdungug sin manga mawmaas iban taymanghud hi Īsa sin kahālan niya, miyadtu sila kumawaꞌ kaniya."
267,Sabab laung sin manga tau in hi Īsa narupang na.
268,"Lāgiꞌ, awn isab manga guru sin saraꞌ agama, in nakalūd mawn dayn ha Awrusalam (Baytal Makdis)."
269,"Laung nila, “Siyusūd hi Īsa sin Nakuraꞌ sin manga Saytan amu in pagngānan Bilsibul."
270,Nakuraꞌ sin manga Saytan in nagdihil kaniya barakat magpaguwaꞌ sin manga saytan dayn ha manga tau siyusūd saytan.”
271,"Na, hangkan tiyawag hi Īsa in manga tau piyakawn kaniya ampa niya diyalil in bichara niya."
272,"Laung niya, “Unu in karnaꞌ sin Saytan Puntukan magpaguwaꞌ sin manga tindug niya dayn ha manga tau siyusūd saytan?"
273,Bang bihādtu biyaꞌ da baran niya in piyaguwaꞌ niya.
274,Biyaꞌ da isab hantang sin hambuuk hulaꞌ.
275,"Bang in manga tau ha hambuuk hulaꞌ nababahagiꞌ, nagdurugaing-dugaing agaran iban magbunuꞌ-biyunui."
276,Na in hulaꞌ yan diꞌ lumugay kumangīꞌ da.
277,"Damikkiyan bang in maglahasiyaꞌ magsaggaꞌ-siyaggai, diꞌ lumugay kumangīꞌ da sila."
278,"Na, hangkan bang sawpama in Saytan Puntukan magkuntara iban sin manga tindug niya, in kusug sin kawasa niya diꞌ tumatas."
279,Kumangīꞌ siya iban duun na in katubtuban niya.”
280,Diyalil hi Īsa in Saytan Puntukan pa hambuuk tau makusug.
281,"Laung niya, “Way tau makasūd manglangpas pa lawm bāy sin hambuuk tau makusug bang siya diꞌ kahukutan naa muna."
282,Ini in bunnal hibaytaꞌ ku kaniyu.
283,"In katān dusa iban pamung mangīꞌ pa Tuhan sin manga tau, ampunun da sin Tuhan."
284,Sagawaꞌ hisiyu-siyu in mamung mangīꞌ ha Rū sin Tuhan.
285,Diꞌ siya ampunun sin Tuhan sabab in dusa yan tanggungun niya sampay kasaumulan.”
286,Sakali nākawn na in inaꞌ hi Īsa iban sin manga taymanghud niya usug.
287,Duun sila timindug ha guwaꞌ sin bāy ampa sila nagparā lapal sin mabayaꞌ sila dumā magkitaꞌ kan Īsa.
288,"Na, mataud tuud tau in naglilingkud duun ha katilibut hi Īsa."
289,"Laung nila kan Īsa, “Tuwan, in inaꞌ mu iban manga taymanghud mu yaun ha guwaꞌ, naglawag kaymu.”"
290,"In sambung hi Īsa, “Bukun sadja sila yan in manga taymanghud iban inaꞌ ku!”"
291,Imatud siya pa manga tau naglilingkud ha katilibut niya ampa siya namung.
292,"Laung niya, “Minsan in sila ini manga taymanghud iban inaꞌ ku da."
293,Sabab hisiyu-siyu in magkahagad huminang sin kabayaan sin Tuhan in siya yan taymanghud ku usug-babai iban inaꞌ ku.”
294,Sakali dimatung na hi Īsa iban sin manga mulid niya pa hansipak sin Dagat Jalil.
295,Mawn pa hulaꞌ Girasa.
296,Pagnaug na mayan hi Īsa dayn ha kumpit.
297,Biyāk siya sin hambuuk tau guwaꞌ dayn ha lawm kakubulan.
298,In tau ini siyusūd saytan.
299,Iban naghuhulaꞌ siya ha kakubulan.
300,Diꞌ na tuud siya kahukutan minsan pa basiꞌ in hipanghukut kaniya.
301,Nakamataud na bilangguan sin manga tau in siki-lima niya.
302,Sagawaꞌ magkabugtuꞌbugtuꞌ niya da in bilangguꞌ.
303,Pagbaliꞌ-baliun niya in manga ikang-ikang.
304,Wayruun tau makagapus kaniya.
305,Sabab landuꞌ tuud in kusug niya.
306,Magsāsab siya magsilawak dūm-adlaw ha kakubulan.
307,Iban ha manga būd-būd.
308,Iban panggisun niya sin manga batu in baran niya.
309,Pagkitaꞌ sin tau ini kan Īsa dayn ha kalayuan.
310,Dimagan siya madtu kan Īsa.
311,Ampa siya simujud ha alupan niya.
312,"Laung hi Īsa kaniya, “Guwaꞌ kaw dayn ha lawm baran sin tau ini, saytan!”"
313,Magtūy similawak in tau siyusūd saytan.
314,"Laung niya, “Unu in kabayaan mu kākuꞌ, Īsa?"
315,Amu in Anak Tuhan Mahatinggi?
316,Pangayuun ku junjung kaymu.
317,Ayaw mu aku binsanaa.”
318,"Na, iyasubu siya hi Īsa, “Hisiyu in ngān mu?”"
319,"In sambung niya, “In ngān ku hi Ibuhan sabab mataud tuud kami ini!”"
320,"Na, piyangayuꞌ niya tuud jiyunjung kan Īsa."
321,Bang mayan diꞌ sila paīgun dayn ha hulaꞌ yaun.
322,Manjari ini awn manga babuy mataud.
323,Nagbabaan didtu ha pigiꞌ būd.
324,Nagkakaun.
325,"Na, nangayuꞌ junjung kan Īsa in manga saytan."
326,"Laung nila, “Pakadtua kami pa manga babuy yaun."
327,Pasūra kami pa lawm baran nila.”
328,"Na, diyūlan sila hi Īsa."
329,Gimuwaꞌ na in manga saytan dayn ha baran sin tau.
330,Ampa sila limīn pa manga babuy.
331,"Na, magtūy in manga babuy nagbaan-baan limungtud."
332,Dimagan dayn ha pangpang pa babaꞌ.
333,Nakatūy sila pa lawm dagat.
334,Naluꞌmus sila katān.
335,Awn manga kulang labi duwa ngaibu.
336,"Manjari, in manga tau nagꞌiipat sin manga babuy."
337,Magtūy dimagan madtu pa dāira.
338,Iban pa kagimbahan.
339,Nanuysuy ha manga tau pasal sin kītaꞌ nila.
340,"Na, miyadtu in manga tau nyimataꞌ sin suysuy diyungug nila."
341,Pagdatung nila mawn kan Īsa.
342,Kītaꞌ nila in tau amu in bakas siyusūd sin saytan.
343,Hangka-panji duun naglilingkud.
344,Iban pagtamung marayaw.
345,Kiyaulian iban ha lawm sayu na siya.
346,"Na, miyugaꞌ in tau katān."
347,"Na, in manga tau amu in duun nakakitaꞌ nanuysuy na ha manga tau."
348,Sin nahinang hi Īsa ha tau siyusūd sin manga saytan.
349,Iban pasal sin manga babuy.
350,"Na, pagꞌingat sin manga tau sin biyaꞌ hādtu."
351,Piyangayuꞌ nila kan Īsa sin subay siya mīg dayn ha hulaꞌ nila.
352,Sakali sūng mayan hi Īsa sumakat pa kumpit asibiꞌ.
353,Nangayuꞌ junjung kan Īsa in tau bakas siyusūd sin manga saytan.
354,"Laung niya, “Tuwan, paagara aku kaymu.”"
355,Sagawaꞌ diꞌ siya paagarun hi Īsa.
356,"Gām mayan laung hi Īsa kaniya, “Uwiꞌ na kaw madtu pa manga lahasiyaꞌ mu."
357,Iban baytai sila pasal sin nahinang sin Panghuꞌ kaymu.
358,Iban sin luuy niya kaymu.”
359,"Na, minīg na in tau yaun."
360,Ampa niya liyatag siyuysuyan in manga tau ha hulaꞌ pagngānan Hangpuꞌ Lungsud sin nahinang hi Īsa kaniya.
361,"Na, nahaylan in tau katān nakarungug sin suysuy niya."
362,"Manjari, imuntas na isab nagbalik hinda Īsa pa hansipak sin Dagat Jalil."
363,"Pagdatung nila, mataud tau in miyawn nagtipun ha katilibut hi Īsa."
364,"Ha saꞌbu niya duun, nākawn hi Jayrus."
365,Hambuuk nakuraꞌ sin langgal sin manga Yahudi.
366,"Pagkitaꞌ niya kan Īsa, magtūy siya simujud pa tungud siki hi Īsa."
367,"Pagꞌubus, ampa siya nangayuꞌ junjung kan Īsa."
368,"Laung niya, “Tuwan, in anak ku babai dāga-rāga nagdarā na napas."
369,"Anduꞌ, kari kaw agad kākuꞌ pa bāy ampa mu siya kumpiti bat siya dumayaw iban mabuhiꞌ.”"
370,"Na, miyagad na hi Īsa kaniya."
371,Mataud tuud tau in miyamagad kan Īsa.
372,Iban naggigipit siya.
373,Iban sin manga tau ha katilibut niya.
374,Sakali awn dimungan kanila hambuuk babai nasasakit pagguwaan duguꞌ.
375,Hangpuꞌ tagduwa tahun na in lugay niya.
376,Mataud na mangungubat in nakaubat kaniya.
377,Iban naubus na in pilak niya piyagpaubat.
378,Sagawaꞌ walaꞌ da siya imuliꞌ.
379,Gām mayan magsusūng in sakit niya.
